iter	Logloss
0	0.6010694954
1	0.5439036188
2	0.4970769666
3	0.4657683
4	0.4445676184
5	0.4318780899
6	0.4223867879
7	0.4122331582
8	0.4070104571
9	0.4015272739
10	0.3984294382
11	0.3939141264
12	0.3909760602
13	0.3872393403
14	0.3853897942
15	0.3824564075
16	0.3799538176
17	0.3784543683
18	0.3760585345
19	0.3741574051
20	0.3729143296
21	0.3723131924
22	0.3707838761
23	0.3686132312
24	0.3672071135
25	0.3660061381
26	0.3650058633
27	0.3638019013
28	0.3629747663
29	0.361690441
30	0.3600438722
31	0.3586044437
32	0.3581621028
33	0.3571297519
34	0.3559546162
35	0.3543215878
36	0.3535228057
37	0.3517617088
38	0.3513969469
39	0.3499854487
40	0.3492434629
41	0.3484444864
42	0.3475166616
43	0.3466473772
44	0.3456878745
45	0.3448466573
46	0.3437442518
47	0.3425608423
48	0.3410758777
49	0.340435297
50	0.3389476324
51	0.3381532375
52	0.3371726067
53	0.3356801715
54	0.3350750548
55	0.3339814814
56	0.3326990699
57	0.3316930727
58	0.3303996847
59	0.3290860623
60	0.3281618341
61	0.3272320206
62	0.3262395687
63	0.325401224
64	0.3247855525
65	0.3238810642
66	0.3232143128
67	0.3222111475
68	0.3211868751
69	0.3200303242
70	0.3187761672
71	0.317625313
72	0.3170036569
73	0.3159344197
74	0.3146539717
75	0.3136622839
76	0.312890749
77	0.3114487546
78	0.3104156929
79	0.3090189407
80	0.3083417167
81	0.3073215866
82	0.3067924326
83	0.3056753361
84	0.3047732482
85	0.303768423
86	0.3030858335
87	0.3025084346
88	0.3014627691
89	0.3006395074
90	0.3001213323
91	0.2991090634
92	0.2982948815
93	0.2974741184
94	0.2966137343
95	0.2955590378
96	0.2945516467
97	0.2934755536
98	0.2926938107
99	0.2915910487
