iter	Passed	Remaining
0	160	15842
1	165	8098
2	170	5517
3	174	4188
4	178	3397
5	182	2861
6	186	2479
7	190	2192
8	195	1977
9	199	1798
10	203	1649
11	207	1522
12	211	1417
13	215	1323
14	219	1241
15	222	1170
16	227	1111
17	231	1055
18	235	1003
19	239	956
20	243	916
21	247	878
22	251	842
23	255	808
24	260	781
25	264	752
26	268	724
27	271	698
28	275	675
29	279	651
30	283	630
31	286	609
32	291	591
33	295	572
34	298	555
35	302	538
36	308	524
37	312	509
38	316	494
39	320	480
40	325	468
41	330	456
42	334	443
43	339	432
44	343	420
45	348	408
46	352	397
47	357	386
48	361	376
49	366	366
50	371	357
51	376	347
52	380	337
53	385	328
54	389	318
55	394	309
56	398	300
57	403	292
58	408	283
59	412	275
60	417	266
61	422	258
62	426	250
63	431	242
64	436	235
65	441	227
66	446	219
67	451	212
68	456	205
69	461	197
70	465	190
71	469	182
72	473	175
73	477	167
74	481	160
75	485	153
76	488	146
77	492	138
78	496	132
79	500	125
80	504	118
81	508	111
82	512	104
83	516	98
84	520	91
85	523	85
86	527	78
87	532	72
88	579	71
89	590	65
90	600	59
91	609	53
92	616	46
93	621	39
94	625	32
95	631	26
96	647	20
97	652	13
98	656	6
99	660	0
